item_id;pedido_id;produto_id;quantidade;preco_unitario
1;1;12;1;9.0
2;1;3;1;20.0
3;2;4;3;22.0
4;3;6;3;5.0
5;3;13;2;7.5
6;3;3;2;20.0
7;3;6;1;5.0
8;4;7;3;7.0
9;4;9;2;12.0
10;4;11;1;10.0
11;4;5;1;25.0
12;4;6;3;5.0
13;5;11;3;10.0
14;5;1;1;15.0
15;5;3;1;20.0
16;5;6;2;5.0
17;5;8;2;3.5
18;6;11;1;10.0
19;6;9;2;12.0
20;6;12;1;9.0
21;7;11;3;10.0
22;7;8;1;3.5
23;7;8;3;3.5
24;7;3;2;20.0
25;8;1;1;15.0
26;9;9;1;12.0
27;10;10;3;8.0
28;10;3;1;20.0
29;10;11;2;10.0
30;10;5;2;25.0
31;10;4;2;22.0
32;11;6;3;5.0
33;11;12;2;9.0
34;11;5;3;25.0
35;11;8;1;3.5
36;11;4;3;22.0
37;12;1;2;15.0
38;12;4;2;22.0
39;13;7;2;7.0
40;13;2;2;18.0
41;13;12;2;9.0
42;13;4;3;22.0
43;13;5;2;25.0
44;14;9;1;12.0
45;14;2;2;18.0
46;15;8;3;3.5
47;16;10;2;8.0
48;16;8;2;3.5
49;17;5;3;25.0
50;17;3;3;20.0
51;18;5;1;25.0
52;18;5;3;25.0
53;18;9;3;12.0
54;19;5;2;25.0
55;19;3;2;20.0
56;19;6;2;5.0
57;19;13;1;7.5
58;19;11;2;10.0
59;20;1;2;15.0
60;20;11;3;10.0
61;21;7;1;7.0
62;22;1;1;15.0
63;22;10;3;8.0
64;22;9;1;12.0
65;22;11;1;10.0
66;23;9;1;12.0
67;23;8;3;3.5
68;24;3;3;20.0
69;24;13;3;7.5
70;24;4;1;22.0
71;24;9;1;12.0
72;24;11;2;10.0
73;25;13;2;7.5
74;25;8;1;3.5
75;25;7;1;7.0
76;26;12;1;9.0
77;27;5;3;25.0
78;27;3;2;20.0
79;27;11;2;10.0
80;28;2;2;18.0
81;28;11;1;10.0
82;28;8;3;3.5
83;28;2;3;18.0
84;29;10;1;8.0
85;29;4;2;22.0
86;30;3;2;20.0
87;30;8;1;3.5
